verbose,epochs,replay_rate,threshold,save_to_file,num_centers,lamb,select_sample,conditional_train,conditional_prediction,Task 0,Task 1,Task 2,Task 3,Task 4,Average
False,20,0.05,,mnist.csv,1,2.5,True,True,False,0.34609929078014184,0.4911851126346719,0.39060832443970117,0.9340382678751259,0.9435199193141705,0.6210901830087623
False,20,0.05,,mnist.csv,1,2.5,True,False,True,0.8534278959810875,0.846718903036239,0.8868729989327642,0.8121852970795569,0.9172970247100353,0.8633004239479366
False,20,0.05,,mnist.csv,1,2.5,True,False,False,0.9281323877068558,0.7389813907933399,0.6830309498399146,0.7764350453172205,0.9541099344427635,0.8161379416200187
False,20,0.05,,mnist.csv,1,2.5,False,True,True,0.9304964539007092,0.5827619980411362,0.7657417289220918,0.8751258811681772,0.9626828038325769,0.8233617731729381
False,20,0.05,,mnist.csv,1,2.5,False,True,False,0.09787234042553192,0.1444662095984329,0.11472785485592316,0.9315206445115811,0.9732728189611699,0.4523719736705278
False,20,0.05,,mnist.csv,1,2.5,False,False,True,0.9744680851063829,0.8511263467189031,0.8959445037353255,0.8851963746223565,0.9465456379223399,0.9106561896210617
False,20,0.05,,mnist.csv,1,2.5,False,False,False,0.9546099290780142,0.9049951028403526,0.9103521878335112,0.932527693856999,0.9364599092284418,0.9277889645674637
False,20,0.05,,mnist.csv,1,3.25,True,True,True,0.9456264775413712,0.4892262487757101,0.4823906083244397,0.87865055387714,0.9646999495713565,0.7521187676180036
False,20,0.05,,mnist.csv,1,3.25,True,True,False,0.3215130023640662,0.45102840352595497,0.2726787620064034,0.905840886203424,0.9435199193141705,0.5789161946828039
False,20,0.05,,mnist.csv,1,3.25,True,False,True,0.9664302600472813,0.8952007835455436,0.9055496264674493,0.6047331319234642,0.8557740796772567,0.8455375763321991
False,20,0.05,,mnist.csv,1,3.25,True,False,False,0.6458628841607565,0.8393731635651323,0.8020277481323372,0.891742195367573,0.9445284921835603,0.8247068966818718
False,20,0.05,,mnist.csv,1,3.25,False,True,True,0.9120567375886525,0.618511263467189,0.7155816435432231,0.8882175226586103,0.9525970751386788,0.8173928484792707
