verbose,epochs,replay_rate,threshold,save_to_file,num_centers,lamb,select_sample,conditional_train,conditional_prediction,same_initial,Task 0,Task 1,Task 2,Task 3,Task 4,Average
False,20,0.1,,mnist_replay.csv,1,2,False,False,True,True,0.983451536643026,0.7208619000979432,0.4626467449306297,0.5040281973816717,0.9848714069591528,0.7311719572024846
False,20,0.1,,mnist_replay.csv,1,,False,False,True,True,0.9881796690307328,0.584720861900098,0.5293489861259338,0.5574018126888217,0.9778113968734241,0.7274925453238021
False,20,0.1,,mnist_replay.csv,1,,False,False,True,False,0.9801418439716312,0.6258570029382958,0.371931696905016,0.5840886203423967,0.9828542612203732,0.7089746850755425
False,20,0.1,,mnist_replay.csv,1,1,False,False,True,True,0.9825059101654846,0.6714005876591577,0.5981856990394877,0.783484390735146,0.978315683308119,0.8027784541814791
False,20,0.1,,mnist_replay.csv,1,1,False,False,True,False,0.9739952718676123,0.5950048971596474,0.4967982924226254,0.783484390735146,0.9818456883509834,0.7662257081072029
False,20,0.1,,mnist_replay.csv,1,2,False,False,True,True,0.9806146572104019,0.6973555337904016,0.5939167556029883,0.6248741188318228,0.9808371154815936,0.7755196361834417
False,20,0.1,,mnist_replay.csv,1,2,False,False,True,False,0.9862884160756501,0.7938295788442703,0.7059765208110993,0.6641490433031219,0.9768028240040343,0.8254092766076351
False,20,0.1,,mnist_replay.csv,4,,False,False,True,True,0.991016548463357,0.698824681684623,0.8303094983991463,0.8398791540785498,0.9531013615733737,0.86262624883981
False,20,0.1,,mnist_replay.csv,4,,False,False,True,False,0.984869976359338,0.6038197845249755,0.5458911419423693,0.6409869083585096,0.9747856782652546,0.7500706978900894
False,20,0.1,,mnist_replay.csv,4,1,False,False,True,True,0.983451536643026,0.6429970617042116,0.8308431163287087,0.7371601208459214,0.9798285426122038,0.8348560756268142
False,20,0.1,,mnist_replay.csv,4,1,False,False,True,False,0.984869976359338,0.524975514201763,0.7123799359658485,0.46777442094662636,0.9798285426122038,0.733965678017156
False,20,0.1,,mnist_replay.csv,4,2,False,False,True,True,0.9891252955082742,0.5763956904995103,0.6275346851654215,0.47129909365558914,0.972768532526475,0.7274246594710541
False,20,0.1,,mnist_replay.csv,4,2,False,False,True,False,0.9806146572104019,0.8129285014691479,0.8900747065101388,0.8816717019133937,0.9762985375693394,0.9083176209344842
False,20,0.2,,mnist_replay.csv,1,,False,False,True,True,0.9929078014184397,0.8095004897159648,0.44983991462113126,0.49748237663645517,0.9687342410489158,0.7436929646881814
