verbose,epochs,replay_rate,threshold,save_to_file,num_centers,lamb,select_sample,conditional_train,conditional_prediction,same_initial,Task 0,Task 1,Task 2,Task 3,Task 4,Average
False,20,0.05,,mnist_contitonal_all.csv,2,2,False,False,True,False,0.9654846335697399,0.8829578844270323,0.8943436499466382,0.9420946626384693,0.9808371154815936,0.9331435892126946
False,20,0.05,,mnist_contitonal_all.csv,4,,True,False,True,True,0.640661938534279,0.8300685602350637,0.6061899679829242,0.9093655589123867,0.9803328290468987,0.7933237709423105
False,20,0.05,,mnist_contitonal_all.csv,4,,True,False,True,False,0.8926713947990543,0.8315377081292851,0.7716115261472786,0.8383685800604229,0.9768028240040343,0.8621984066280151
False,20,0.05,,mnist_contitonal_all.csv,4,,False,False,True,True,0.9621749408983451,0.871694417238002,0.8938100320170758,0.9224572004028198,0.9788199697428139,0.9257913120598114
False,20,0.05,,mnist_contitonal_all.csv,4,,False,False,True,False,0.9612293144208038,0.8834476003917727,0.8815368196371398,0.9340382678751259,0.9808371154815936,0.9282178235612871
False,20,0.05,,mnist_contitonal_all.csv,4,1,True,False,True,True,0.8969267139479905,0.7791380999020568,0.6648879402347919,0.8202416918429003,0.9828542612203732,0.8288097414296225
False,20,0.05,,mnist_contitonal_all.csv,4,1,True,False,True,False,0.816548463356974,0.7796278158667973,0.62059765208111,0.824773413897281,0.9702471003530005,0.8023588891110325
False,20,0.05,,mnist_contitonal_all.csv,4,1,False,False,True,True,0.956501182033097,0.8677766895200784,0.843649946638207,0.9390735146022156,0.9808371154815936,0.9175676896550383
False,20,0.05,,mnist_contitonal_all.csv,4,1,False,False,True,False,0.9631205673758865,0.8961802154750245,0.8575240128068303,0.9335347432024169,0.9757942511346445,0.9252307579989605
False,20,0.05,,mnist_contitonal_all.csv,4,2,True,False,True,True,0.825531914893617,0.821743388834476,0.6931696905016008,0.8736153071500503,0.9808371154815936,0.8389794833722675
False,20,0.05,,mnist_contitonal_all.csv,4,2,True,False,True,False,0.9224586288416076,0.8060724779627816,0.768409818569904,0.8937562940584088,0.9752899646999496,0.8731974368265304
False,20,0.05,,mnist_contitonal_all.csv,4,2,False,False,True,True,0.9621749408983451,0.8555337904015671,0.8762006403415155,0.9254783484390735,0.9838628340897629,0.9206501108340529
False,20,0.05,,mnist_contitonal_all.csv,4,2,False,False,True,False,0.956501182033097,0.8868756121449559,0.8751334044823906,0.9295065458207452,0.9778113968734241,0.9251656282709225
False,20,0.1,,mnist_contitonal_all.csv,1,,True,False,True,True,0.9598108747044918,0.8986287952987267,0.7486659551760939,0.9259818731117825,0.9737771053958648,0.9013729207373921
False,20,0.1,,mnist_contitonal_all.csv,1,,True,False,True,False,0.9617021276595744,0.9236043095004897,0.8313767342582711,0.9622356495468278,0.962178517397882,0.9282194676726089
False,20,0.1,,mnist_contitonal_all.csv,1,,False,False,True,True,0.9423167848699764,0.8893241919686582,0.8745997865528282,0.9284994964753273,0.983358547655068,0.9236197615043716
False,20,0.1,,mnist_contitonal_all.csv,1,,False,False,True,False,0.9659574468085106,0.9240940254652301,0.9386339381003201,0.9607250755287009,0.9778113968734241,0.9534443765552372
False,20,0.1,,mnist_contitonal_all.csv,1,1,True,False,True,True,0.9442080378250591,0.8521057786483839,0.8580576307363927,0.8897280966767371,0.9788199697428139,0.9045839027258774
False,20,0.1,,mnist_contitonal_all.csv,1,1,True,False,True,False,0.9706855791962175,0.8844270323212536,0.8105656350053362,0.9259818731117825,0.9768028240040343,0.9136925887277249
False,20,0.1,,mnist_contitonal_all.csv,1,1,False,False,True,True,0.9735224586288416,0.9187071498530852,0.916221985058698,0.9587109768378651,0.9773071104387292,0.9488939361634439
False,20,0.1,,mnist_contitonal_all.csv,1,1,False,False,True,False,0.968321513002364,0.9142997061704211,0.9183564567769477,0.9577039274924471,0.9823499747856783,0.9482063156455716
