verbose,epochs,replay_rate,threshold,save_to_file,num_centers,lamb,select_sample,conditional_train,conditional_prediction,same_initial,memory_span,Task 0,Task 1,Task 2,Task 3,Task 4,Average
False,1,0.1,,span_mnist.csv,1,2,False,True,contion_by_others,False,1,0.027895981087470448,0.09990205680705191,0.12433297758804696,0.9496475327291037,0.9652042360060514,0.4333965568435449
False,1,0.1,,span_mnist.csv,1,2,False,True,converse_prediction,False,1,0.7914893617021277,0.44025465230166505,0.4023479188900747,0.7089627391742196,0.5219364599092284,0.572998226395463
False,10,0.1,,span_mnist.csv,1,,False,True,plain_prediction,False,1,0.7560283687943262,0.0,0.0,0.0,0.0,0.15120567375886523
False,10,0.1,,span_mnist.csv,1,,False,True,conditional_converse_prediction,False,1,0.10591016548463357,0.12634671890303623,0.13927427961579508,0.7638469284994964,0.9752899646999496,0.42213361144058215
False,10,0.1,,span_mnist.csv,1,,False,True,conditional_prediction,False,1,0.39243498817966904,0.2507345739471107,0.1472785485592316,0.9018126888217523,0.9858799798285426,0.5356281558672612
False,10,0.1,,span_mnist.csv,1,,False,True,contion_by_others,False,1,0.14326241134751774,0.09157688540646425,0.13127001067235858,0.9446122860020141,0.9873928391326273,0.4596228865121964
False,10,0.1,,span_mnist.csv,1,,False,True,converse_prediction,False,1,0.649645390070922,0.4387855044074437,0.3260405549626467,0.40080563947633435,0.8910741301059002,0.5412702438046495
False,10,0.1,,span_mnist.csv,1,1,False,True,plain_prediction,False,1,0.8794326241134752,0.0,0.0,0.0,0.0,0.17588652482269504
False,10,0.1,,span_mnist.csv,1,1,False,True,conditional_converse_prediction,False,1,0.18250591016548465,0.1278158667972576,0.10779082177161152,0.9083585095669687,0.9657085224407463,0.4584359261484138
False,10,0.1,,span_mnist.csv,1,1,False,True,conditional_prediction,False,1,0.46808510638297873,0.2463271302644466,0.1648879402347919,0.8927492447129909,0.9793242561775088,0.5502747355545434
False,10,0.1,,span_mnist.csv,1,1,False,True,contion_by_others,False,1,0.0425531914893617,0.10724779627815867,0.14887940234791888,0.9541792547834844,0.9828542612203732,0.4471427812238593
False,10,0.1,,span_mnist.csv,1,1,False,True,converse_prediction,False,1,0.6879432624113475,0.40940254652301666,0.24439701173959444,0.622356495468278,0.8860312657589511,0.5700261163802376
False,10,0.1,,span_mnist.csv,1,2,False,True,plain_prediction,False,1,0.881323877068558,0.0,0.0,0.0,0.0,0.1762647754137116
False,10,0.1,,span_mnist.csv,1,2,False,True,conditional_converse_prediction,False,1,0.28463356973995274,0.23604309500489715,0.13713980789754535,0.891742195367573,0.9520927887039838,0.5003302913427904
